"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2021","3,769.00","3,729.00","3,770.00","3,722.38","4.53K","1.07%"
"06/17/2021","3,729.00","3,674.75","3,739.75","3,674.75","1.19K","1.50%"
"06/16/2021","3,674.00","3,698.00","3,702.95","3,674.00","3.43K","-0.65%"
"06/15/2021","3,698.00","3,654.50","3,705.95","3,654.50","0.67K","1.19%"
"06/14/2021","3,654.50","3,654.50","3,660.25","3,643.51","2.46K","0.00%"
"06/11/2021","3,654.50","3,606.00","3,657.50","3,592.15","3.91K","1.34%"
"06/10/2021","3,606.00","3,589.18","3,609.00","3,578.50","4.03K","0.48%"
"06/09/2021","3,588.93","3,594.35","3,599.07","3,572.75","4.49K","-0.16%"
"06/08/2021","3,594.60","3,607.50","3,612.87","3,584.51","4.76K","-0.36%"
"06/07/2021","3,607.50","3,607.50","3,615.36","3,600.37","2.81K","0.00%"
"06/04/2021","3,607.50","3,661.00","3,661.00","3,593.60","5.76K","-1.46%"
"06/03/2021","3,661.00","3,653.50","3,673.00","3,642.00","5.60K","0.21%"
"06/02/2021","3,653.50","3,666.30","3,666.30","3,624.95","4.60K","-0.35%"
"06/01/2021","3,666.30","3,708.00","3,708.00","3,662.30","4.80K","-1.12%"
"05/31/2021","3,708.00","3,708.00","3,708.00","3,702.76","0.42K","0.00%"
"05/28/2021","3,708.00","3,721.71","3,733.25","3,703.44","3.74K","-0.37%"
"05/27/2021","3,721.71","3,743.00","3,747.40","3,721.71","4.51K","-0.57%"
"05/26/2021","3,743.00","3,739.50","3,760.00","3,732.03","4.84K","0.09%"
"05/25/2021","3,739.50","3,734.50","3,747.01","3,721.11","4.27K","0.13%"
"05/24/2021","3,734.50","3,747.00","3,768.80","3,732.00","4.50K","-0.33%"
"05/21/2021","3,747.00","3,717.30","3,753.70","3,706.50","3.40K","0.76%"
"05/20/2021","3,718.80","3,687.20","3,750.25","3,679.83","5.25K","0.92%"
"05/19/2021","3,684.95","3,660.38","3,695.00","3,653.06","5.11K","0.77%"
"05/18/2021","3,656.71","3,688.03","3,689.20","3,647.38","5.62K","-0.78%"
"05/17/2021","3,685.51","3,685.51","3,689.88","3,679.11","3.11K","0.00%"
"05/14/2021","3,685.51","3,721.11","3,721.11","3,668.01","4.97K","-0.96%"
"05/13/2021","3,721.11","3,750.51","3,753.76","3,711.51","2.46K","-0.78%"
"05/12/2021","3,750.51","3,712.01","3,753.01","3,704.59","5.39K","1.04%"
"05/11/2021","3,712.01","3,706.80","3,728.80","3,684.01","4.39K","0.14%"
"05/10/2021","3,706.80","3,750.01","3,757.20","3,704.01","4.79K","-1.15%"
"05/07/2021","3,750.01","3,804.01","3,806.14","3,750.01","5.33K","-1.42%"
"05/06/2021","3,804.01","3,851.01","3,851.01","3,777.01","5.02K","-1.22%"
"05/05/2021","3,851.01","3,828.38","3,864.16","3,812.51","5.29K","0.56%"
"05/04/2021","3,829.50","3,804.95","3,846.00","3,797.35","5.26K","0.66%"
"05/03/2021","3,804.50","3,753.93","3,834.63","3,745.60","4.06K","1.36%"
"04/30/2021","3,753.30","3,715.11","3,759.05","3,707.68","4.42K","1.03%"
"04/29/2021","3,715.11","3,696.01","3,728.01","3,688.30","4.45K","0.52%"
"04/28/2021","3,696.01","3,717.88","3,723.45","3,691.22","5.21K","-0.60%"
"04/27/2021","3,718.25","3,695.38","3,738.48","3,679.52","4.68K","0.63%"
"04/26/2021","3,695.01","3,628.88","3,696.01","3,626.36","5.26K","1.83%"
"04/23/2021","3,628.50","3,635.35","3,651.50","3,624.00","4.65K","-0.19%"
"04/22/2021","3,635.35","3,614.00","3,643.60","3,597.00","5.26K","0.59%"
"04/21/2021","3,614.00","3,643.00","3,653.90","3,612.00","4.15K","-0.80%"
"04/20/2021","3,643.00","3,627.00","3,645.40","3,619.75","3.74K","0.44%"
"04/19/2021","3,627.00","3,603.38","3,630.80","3,593.39","3.80K","0.67%"
"04/16/2021","3,603.01","3,611.62","3,620.03","3,587.43","4.45K","-0.25%"
"04/15/2021","3,612.00","3,656.80","3,656.80","3,604.70","4.04K","-1.23%"
"04/14/2021","3,656.80","3,668.50","3,682.79","3,652.30","5.32K","-0.32%"
"04/13/2021","3,668.50","3,665.00","3,676.70","3,656.50","4.58K","0.10%"
"04/12/2021","3,665.00","3,659.50","3,666.50","3,637.55","4.24K","0.15%"
"04/09/2021","3,659.50","3,629.05","3,662.50","3,629.05","4.64K","0.84%"
"04/08/2021","3,629.05","3,654.59","3,654.59","3,625.57","4.85K","-0.70%"
"04/07/2021","3,654.59","3,636.75","3,662.50","3,616.45","5.57K","0.50%"
"04/06/2021","3,636.50","3,674.00","3,674.00","3,632.00","3.84K","-1.02%"
"04/05/2021","3,674.00","3,655.45","3,674.00","3,628.75","4.39K","0.34%"
"04/02/2021","3,661.70","3,661.70","3,661.70","3,657.91","0.31K","0.00%"
"04/01/2021","3,661.70","3,666.45","3,669.01","3,654.75","0.45K","0.00%"
"03/31/2021","3,661.70","3,730.00","3,730.75","3,660.75","0.94K","-1.83%"
"03/30/2021","3,730.00","3,718.99","3,755.00","3,710.56","1.07K","0.30%"
"03/29/2021","3,718.99","3,689.89","3,719.50","3,689.89","0.99K","0.79%"
"03/26/2021","3,689.89","3,668.00","3,691.20","3,640.00","4.88K","0.60%"
"03/25/2021","3,668.00","3,649.40","3,669.49","3,645.10","5.32K","0.51%"
"03/24/2021","3,649.40","3,619.50","3,650.50","3,609.24","5.29K","0.83%"
"03/23/2021","3,619.50","3,560.15","3,620.40","3,553.63","5.63K","1.69%"
"03/22/2021","3,559.40","3,558.90","3,570.00","3,552.29","0.92K","0.01%"
"03/19/2021","3,558.90","3,547.10","3,563.60","3,538.03","4.90K","0.33%"
"03/18/2021","3,547.10","3,571.25","3,595.00","3,538.55","5.88K","-0.67%"
"03/17/2021","3,571.00","3,559.50","3,583.51","3,557.73","4.80K","0.32%"
"03/16/2021","3,559.50","3,555.75","3,566.30","3,540.02","5.40K","0.01%"
"03/15/2021","3,559.00","3,578.50","3,594.25","3,557.00","4.52K","-0.48%"
"03/12/2021","3,576.00","3,556.00","3,589.88","3,543.98","5.53K","0.56%"
"03/11/2021","3,556.00","3,553.50","3,558.12","3,516.11","6.41K","0.09%"
"03/10/2021","3,552.75","3,592.50","3,594.75","3,543.76","5.65K","-1.11%"
"03/09/2021","3,592.50","3,604.70","3,611.61","3,587.20","5.53K","-0.34%"
"03/08/2021","3,604.70","3,635.15","3,661.60","3,600.25","5.56K","-0.84%"
"03/05/2021","3,635.15","3,644.90","3,671.31","3,614.50","6.27K","-0.27%"
"03/04/2021","3,644.90","3,681.09","3,682.34","3,621.50","5.94K","-0.98%"
"03/03/2021","3,681.09","3,656.25","3,681.99","3,648.94","6.15K","0.67%"
"03/02/2021","3,656.50","3,620.00","3,662.38","3,614.91","5.64K","1.02%"
"03/01/2021","3,619.50","3,646.00","3,647.32","3,602.00","5.68K","-0.75%"
"02/26/2021","3,647.00","3,610.45","3,651.95","3,603.90","5.12K","1.01%"
"02/25/2021","3,610.45","3,565.00","3,612.06","3,564.50","4.84K","1.27%"
"02/24/2021","3,565.00","3,594.50","3,594.50","3,562.00","5.18K","-0.82%"
"02/23/2021","3,594.50","3,593.50","3,599.24","3,582.53","4.89K","0.03%"
"02/22/2021","3,593.50","3,571.80","3,624.50","3,564.66","5.23K","0.61%"
"02/19/2021","3,571.80","3,547.33","3,579.00","3,532.50","6.31K","0.69%"
"02/18/2021","3,547.33","3,528.20","3,549.40","3,516.10","6.02K","0.54%"
"02/17/2021","3,528.20","3,522.50","3,566.85","3,515.96","4.81K","0.04%"
"02/16/2021","3,526.83","3,495.38","3,534.88","3,488.40","5.16K","0.87%"
"02/15/2021","3,496.50","3,502.00","3,507.88","3,487.40","3.57K","0.00%"
"02/12/2021","3,496.50","3,526.50","3,539.56","3,496.00","5.73K","-0.85%"
"02/11/2021","3,526.50","3,559.75","3,559.75","3,517.50","5.36K","-0.93%"
"02/10/2021","3,559.50","3,576.30","3,586.25","3,541.00","6.05K","-0.47%"
"02/09/2021","3,576.30","3,571.00","3,597.95","3,561.43","5.96K","0.15%"
"02/08/2021","3,571.00","3,555.50","3,575.50","3,538.52","4.89K","0.44%"
