"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2020","3,643.50","3,644.50","3,659.51","3,623.69","7.27K","-0.03%"
"11/17/2020","3,644.50","3,637.65","3,652.90","3,617.50","8.24K","0.00%"
"11/16/2020","3,644.40","3,649.65","3,651.94","3,636.20","4.45K","0.03%"
"11/13/2020","3,643.40","3,644.05","3,651.00","3,631.18","7.61K","-0.02%"
"11/12/2020","3,644.05","3,636.50","3,667.45","3,631.73","7.95K","0.14%"
"11/11/2020","3,639.00","3,632.75","3,646.69","3,624.90","0.73K","0.21%"
"11/10/2020","3,631.50","3,650.83","3,675.25","3,625.34","8.28K","-0.49%"
"11/09/2020","3,649.20","3,722.88","3,723.09","3,622.88","7.99K","-1.98%"
"11/06/2020","3,723.00","3,754.00","3,775.00","3,719.15","8.60K","-0.83%"
"11/05/2020","3,754.00","3,815.82","3,818.06","3,752.00","8.80K","-1.62%"
"11/04/2020","3,815.82","3,819.75","3,825.75","3,787.25","8.17K","-0.10%"
"11/03/2020","3,819.50","3,865.10","3,870.85","3,811.00","6.76K","-1.29%"
"11/02/2020","3,869.35","3,875.10","3,885.74","3,864.28","6.23K","-0.03%"
"10/30/2020","3,870.35","3,861.25","3,873.50","3,846.47","6.97K","0.24%"
"10/29/2020","3,861.25","3,830.00","3,866.00","3,829.34","3.69K","0.82%"
"10/28/2020","3,830.00","3,809.10","3,854.15","3,802.38","7.53K","0.54%"
"10/27/2020","3,809.60","3,814.85","3,820.15","3,797.88","6.35K","-0.14%"
"10/26/2020","3,814.85","3,789.50","3,818.77","3,781.93","5.16K","0.67%"
"10/23/2020","3,789.50","3,784.00","3,793.49","3,770.00","5.84K","0.15%"
"10/22/2020","3,784.00","3,766.50","3,795.90","3,754.50","6.38K","0.46%"
"10/21/2020","3,766.50","3,825.00","3,826.00","3,761.39","7.10K","-1.53%"
"10/20/2020","3,825.00","3,844.75","3,847.18","3,815.69","6.62K","-0.51%"
"10/19/2020","3,844.75","3,848.10","3,849.45","3,834.50","5.76K","-0.09%"
"10/16/2020","3,848.10","3,850.25","3,852.00","3,827.68","3.03K","-0.06%"
"10/15/2020","3,850.25","3,839.00","3,862.74","3,837.11","3.22K","0.29%"
"10/14/2020","3,839.00","3,862.00","3,862.00","3,835.00","1.21K","-0.60%"
"10/13/2020","3,862.00","3,825.50","3,864.00","3,825.50","3.34K","0.89%"
"10/12/2020","3,828.00","3,828.00","3,837.36","3,827.91","0.90K","0.00%"
"10/09/2020","3,828.00","3,842.25","3,843.04","3,817.45","4.07K","-0.30%"
"10/08/2020","3,839.50","3,844.20","3,848.80","3,830.53","3.62K","-0.12%"
"10/07/2020","3,844.20","3,833.00","3,850.00","3,808.63","4.31K","0.29%"
"10/06/2020","3,833.00","3,829.59","3,845.30","3,806.78","5.08K","0.09%"
"10/05/2020","3,829.59","3,871.50","3,877.99","3,827.26","4.92K","-1.10%"
"10/02/2020","3,872.00","3,845.50","3,905.60","3,845.50","5.42K","0.69%"
"10/01/2020","3,845.50","3,827.50","3,858.50","3,797.57","4.77K","0.48%"
"09/30/2020","3,827.00","3,886.95","3,906.75","3,826.75","4.77K","-1.54%"
"09/29/2020","3,886.95","3,873.00","3,896.85","3,858.92","5.21K","0.36%"
"09/28/2020","3,873.00","3,886.75","3,886.90","3,830.20","4.34K","-0.36%"
"09/25/2020","3,887.00","3,827.00","3,893.85","3,824.43","5.20K","1.57%"
"09/24/2020","3,827.00","3,862.18","3,908.32","3,826.50","6.79K","-0.84%"
"09/23/2020","3,859.53","3,831.43","3,878.88","3,825.12","6.65K","0.89%"
"09/22/2020","3,825.64","3,794.30","3,845.94","3,782.56","5.11K","1.03%"
"09/21/2020","3,786.82","3,735.47","3,807.09","3,731.66","4.35K","1.52%"
"09/18/2020","3,730.01","3,714.36","3,738.26","3,707.70","4.20K","0.40%"
"09/17/2020","3,715.01","3,686.84","3,728.34","3,686.20","4.83K","0.61%"
"09/16/2020","3,692.38","3,704.30","3,724.20","3,684.35","5.11K","0.02%"
"09/15/2020","3,691.50","3,692.78","3,704.03","3,668.61","4.61K","0.03%"
